state,state_abrev,ownership_type,occ_title,title,employment_total,employment_per_1000,occupation_share_per_area_employment,Pct_Ind_Employ,pct_rpt,mean_hourly_wage,mean_salary
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,320,0.47,0.22,,,35.82,"74,500"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"4,490",1.555,0.73,,,49.08,"102,090"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,550",0.756,1.51,,,43.03,"89,510"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,90,0.292,0.58,,,43.45,"90,370"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,510",0.483,0.96,,,50.23,"104,470"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,490,0.384,0.77,,,43.83,"91,160"
California,CA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"8,070",0.45,0.9,,,55.95,"116,380"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,950",0.689,1.37,,,56,"116,470"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,870,0.522,1.04,,,52.86,"109,950"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,740,1.571,3.13,,,50.65,"105,350"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,520,0.741,1.48,,,55.99,"116,470"
Florida,FL,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"4,690",0.49,0.98,,,50.28,"104,590"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,860",0.601,1.2,,,51.38,"106,880"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,110,0.186,0.37,,,43.41,"90,300"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,210,0.251,0.5,,,40.15,"83,500"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"3,370",0.561,1.12,,,52.24,"108,650"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,280",0.407,0.81,,,36.6,"76,130"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,410,0.268,0.54,,,45.14,"93,890"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,070",0.761,1.52,,,56.57,"117,660"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,690,0.351,0.7,,,40.18,"83,570"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,360,0.193,0.39,,,44.12,"91,760"
Maine,ME,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,240,0.392,0.78,,,46.66,"97,060"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,790",0.669,1.33,,,56.61,"117,750"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,220",0.609,1.21,,,56.67,"117,870"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,460",0.335,0.67,,,44.7,"92,980"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,140",0.394,0.79,,,48.68,"101,260"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,200,0.176,0.35,,,39.55,"82,270"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,640",0.571,1.14,,,43.59,"90,660"
Montana,MT,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,270,0.545,1.09,,,40.26,"83,750"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,570,0.57,1.14,,,42.28,"87,940"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,560,0.376,0.75,,,41.38,"86,080"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,290,0.428,0.85,,,49.81,"103,610"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,080",0.495,0.99,,,58.88,"122,460"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,580,0.687,1.37,,,46.61,"96,950"
New York,NY,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"4,390",0.467,0.93,,,50.11,"104,230"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,480",0.517,1.03,,,50.23,"104,480"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,120,0.28,0.56,,,39.74,"82,660"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,930",0.352,0.7,,,45.61,"94,860"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,780,0.468,0.93,,,41.13,"85,550"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,910,0.468,0.93,,,49.55,"103,070"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,820",0.474,0.94,,,48.15,"100,160"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,280,0.568,1.13,,,51.76,"107,670"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,790,0.357,0.71,,,48.76,"101,420"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,150,0.347,0.69,,,40.05,"83,290"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,650",0.512,1.02,,,50.24,"104,490"
Texas,TX,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"6,900",0.509,1.02,,,48.31,"100,490"
Utah,UT,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,650,0.388,0.77,,,46.97,"97,700"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,120,0.4,0.8,,,47.8,"99,430"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"4,780",1.202,2.4,,,52.78,"109,790"
Washington,WA,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"2,050",0.586,1.17,,,56.11,"116,710"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,230,0.327,0.65,,,35.85,"74,570"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,"1,110",0.386,0.77,,,46.08,"95,840"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Database Administrators,Data Engineer,120,0.425,0.85,,,39.72,"82,620"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,310,0.149,0.38,,,55,"114,400"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,50,0.168,0.43,,,60.41,"125,650"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,040",0.334,0.85,,,58.21,"121,080"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,290,0.225,0.57,,,46.24,"96,180"
California,CA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"6,120",0.341,0.86,,,78.2,"162,660"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"2,180",0.769,1.95,,,68.22,"141,890"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,650,0.392,0.99,,,67.6,"140,610"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,70,0.159,0.4,,,73.83,"153,570"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,560,0.803,2.04,,,78.35,"162,980"
Florida,FL,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,860",0.195,0.49,,,59.04,"122,790"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"2,790",0.587,1.49,,,70.79,"147,250"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,50,0.079,0.2,,,66.2,"137,690"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,290,0.347,0.88,,,64,"133,130"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,500",0.249,0.63,,,59.73,"124,240"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,700,0.221,0.56,,,44.8,"93,180"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,400,0.261,0.66,,,62.82,"130,660"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,440,0.31,0.79,,,77.8,"161,820"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,690,0.35,0.89,,,47.72,"99,270"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,110,0.058,0.15,,,49.94,"103,870"
Maine,ME,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,100,0.159,0.4,,,57.21,"118,990"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,710,0.266,0.67,,,72.4,"150,590"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,650",0.452,1.15,,,73.48,"152,850"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,290",0.296,0.75,,,55,"114,390"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,790,0.276,0.7,,,61.72,"128,380"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,**,**,**,,,38.34,"79,750"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,930",0.67,1.7,,,51.23,"106,560"
Montana,MT,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,50,0.101,0.26,,,56.36,"117,220"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,700,0.697,1.77,,,62.61,"130,230"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,300,0.202,0.51,,,62.74,"130,500"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,250,0.372,0.94,,,59.21,"123,150"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,290",0.308,0.78,,,76.41,"158,930"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,180,0.216,0.55,,,57.01,"118,590"
New York,NY,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"3,780",0.403,1.02,,,69.3,"144,140"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"3,330",0.695,1.76,,,58.87,"122,460"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,60,0.139,0.35,,,51.08,"106,250"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"1,880",0.343,0.87,,,58.47,"121,620"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,420,0.254,0.64,,,57.66,"119,940"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,540,0.279,0.71,,,63.68,"132,460"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"2,290",0.386,0.98,,,58.63,"121,960"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,100,0.202,0.51,,,56.98,"118,510"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,850,0.384,0.97,,,60.74,"126,340"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,50,0.121,0.31,,,55.87,"116,210"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,560,0.174,0.44,,,57.47,"119,530"
Texas,TX,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"5,900",0.435,1.1,,,67.1,"139,570"
Utah,UT,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"2,090",1.244,3.15,,,69.9,"145,400"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,70,0.23,0.58,,,73.34,"152,540"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"4,680",1.177,2.98,,,68.89,"143,300"
Washington,WA,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,"3,080",0.882,2.24,,,74.25,"154,430"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,90,0.126,0.32,,,49.78,"103,550"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,410,0.143,0.36,,,62.59,"130,180"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Database Architects,Data Architect,120,0.426,1.08,,,29.39,"61,130"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,570,0.28,0.36,,,54.04,"112,400"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,90,0.277,0.36,,,46.83,"97,410"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"2,600",0.83,1.07,,,38.32,"79,700"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,140,0.108,0.14,,,36.07,"75,020"
California,CA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"20,100",1.12,1.44,,,44.3,"92,150"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,960,0.338,0.44,,,48.62,"101,130"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,020",0.613,0.79,,,45.91,"95,490"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,670,1.436,1.85,,,51.81,"107,770"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"2,230",3.177,4.09,,,55.92,"116,320"
Florida,FL,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"7,750",0.81,1.04,,,41.47,"86,260"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"4,600",0.966,1.24,,,39.81,"82,810"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,230,0.373,0.48,,,48.81,"101,520"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,430,0.527,0.68,,,40.69,"84,620"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"5,320",0.886,1.14,,,51.11,"106,300"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,660",0.527,0.68,,,42.37,"88,120"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,190,0.121,0.16,,,39.73,"82,640"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,620,0.437,0.56,,,45.68,"95,020"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,090",0.555,0.71,,,39.41,"81,970"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,460,0.249,0.32,,,35.53,"73,900"
Maine,ME,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,360,0.582,0.75,,,47.02,"97,810"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,730",1.391,1.79,,,54.06,"112,450"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,820",1.048,1.35,,,46.6,"96,930"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,280",0.294,0.38,,,48.19,"100,240"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,470",0.512,0.66,,,49.4,"102,740"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,160,0.143,0.18,,,40.66,"84,570"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,070",1.068,1.38,,,30.59,"63,640"
Montana,MT,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,150,0.299,0.38,,,37.49,"77,970"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,280,0.282,0.36,,,43.53,"90,540"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,310,0.207,0.27,,,41.53,"86,390"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,340,0.502,0.65,,,43.99,"91,500"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,890",0.926,1.19,,,52.4,"108,990"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,480,0.565,0.73,,,40.72,"84,690"
New York,NY,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"5,980",0.636,0.82,,,53.78,"111,860"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"2,270",0.473,0.61,,,47.61,"99,020"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,160,0.394,0.51,,,42.29,"87,970"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,440",0.629,0.81,,,44.83,"93,250"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,520",0.91,1.17,,,30.66,"63,760"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,850",0.952,1.23,,,47.64,"99,080"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"2,420",0.406,0.52,,,39.48,"82,110"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,220,0.451,0.58,,,37.38,"77,740"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,960,0.431,0.55,,,41.57,"86,460"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,500",0.466,0.6,,,38.13,"79,310"
Texas,TX,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"11,690",0.862,1.11,,,46.3,"96,300"
Utah,UT,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"1,200",0.714,0.92,,,39.24,"81,620"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,110,0.359,0.46,,,42.64,"88,690"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"7,720",1.94,2.5,,,58.23,"121,120"
Washington,WA,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"2,950",0.843,1.09,,,49.44,"102,840"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,230,0.34,0.44,,,34.03,"70,770"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Operations Research Analysts,Data Analyst,"3,570",1.238,1.6,,,39.3,"81,750"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,210,0.104,0.53,,,37.16,"77,300"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,50,0.153,0.77,,,48.91,"101,730"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,450,0.143,0.73,,,45.23,"94,080"
California,CA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"2,800",0.156,0.79,,,62.16,"129,290"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"1,140",0.402,2.04,,,48.6,"101,090"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,310,0.186,0.94,,,58.86,"122,420"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,120,0.254,1.29,,,58.44,"121,550"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,670,0.952,4.83,,,61.19,"127,280"
Florida,FL,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,510,0.054,0.27,,,41.98,"87,310"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,490,0.102,0.52,,,54.97,"114,330"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,100,0.17,0.86,,,34.95,"72,700"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,40,0.047,0.24,,,45.92,"95,510"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,460,0.076,0.38,,,56.33,"117,170"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,230,0.073,0.37,,,50.69,"105,440"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,280,0.179,0.91,,,42.12,"87,610"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,90,0.06,0.31,,,49.77,"103,530"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,100,0.053,0.27,,,48.18,"100,220"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,80,0.043,0.22,,,36.49,"75,890"
Maine,ME,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,30,0.055,0.28,,,43.08,"89,610"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"3,020",1.129,5.72,,,61.14,"127,170"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"2,130",0.585,2.96,,,50.65,"105,360"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,640,0.147,0.75,,,52.27,"108,720"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,600,0.207,1.05,,,46.15,"95,980"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,70,0.064,0.32,,,29.26,"60,860"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,530,0.183,0.93,,,36,"74,870"
Montana,MT,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,40,0.088,0.45,,,40.23,"83,670"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,150,0.15,0.76,,,40.87,"85,010"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,70,0.048,0.24,,,36.35,"75,600"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,50,0.081,0.41,,,52.2,"108,580"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,430,0.103,0.52,,,58.83,"122,370"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,240,0.289,1.46,,,31.35,"65,210"
New York,NY,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"1,110",0.119,0.6,,,67.72,"140,860"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"1,790",0.372,1.89,,,57.35,"119,280"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,50,0.12,0.61,,,36.38,"75,670"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,350,0.064,0.32,,,42.5,"88,410"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,**,**,**,,,40.39,"84,000"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,600,0.309,1.57,,,42.14,"87,650"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"2,350",0.394,2,,,46.54,"96,810"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,40,0.085,0.43,,,43.81,"91,120"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,230,0.104,0.53,,,37.13,"77,230"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,920,0.286,1.45,,,43.09,"89,630"
Texas,TX,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"1,220",0.09,0.46,,,49.68,"103,330"
Utah,UT,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,300,0.178,0.9,,,42.53,"88,450"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,120,0.387,1.96,,,35.75,"74,360"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"1,090",0.274,1.39,,,52.87,"109,980"
Washington,WA,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,"2,820",0.806,4.09,,,56.07,"116,630"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,80,0.111,0.56,,,37.06,"77,080"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,230,0.081,0.41,,,44.26,"92,070"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Statisticians,Data Analyst,40,0.129,0.65,,,51.48,"107,080"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"1,120",0.547,0.43,,,47.61,"99,040"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,200,0.638,0.5,,,44.09,"91,710"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"3,800",1.216,0.96,,,54.07,"112,470"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,330,0.263,0.21,,,56.37,"117,250"
California,CA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"33,220",1.851,1.46,,,67.54,"140,490"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"5,910",2.088,1.65,,,57.85,"120,320"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"1,190",0.714,0.56,,,57.93,"120,480"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,530,1.136,0.9,,,62.75,"130,520"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"3,100",4.419,3.48,,,61.93,"128,810"
Florida,FL,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"8,400",0.878,0.69,,,51.2,"106,490"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"6,510",1.368,1.08,,,51.93,"108,010"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,150,0.239,0.19,,,60.61,"126,080"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,710,0.867,0.68,,,60.67,"126,190"
